,effect_size,ring,true_effect,att_mSlearn,se_mSlearn,att_mCF,se_mCF,att_dCF,se_dCF,att_mDiD,se_mDiD
0,100.0,treated_inner_ring,1.5,0.9497796856359293,0.08710814720495284,1.4249591580822394,0.07192614066454663,1.368688594388213,0.06197549605240052,1.435455801114467,0.21408530599364098
1,100.0,treated_outer_ring1,0.8252677854689087,0.5657560906890822,0.11517887861016912,1.259739882206226,0.06254277980237205,1.161969170221739,0.05209152520086665,1.0556608682681863,0.20794626342716724
2,100.0,treated_outer_ring2,0.5671672166630017,0.14003775306751554,0.03367817260244296,0.4891112540243735,0.035445328739241055,0.5722786287260384,0.015276966961985218,0.43009804564719817,0.18765236962696216
3,100.0,treated_outer_ring3,0.17097754498976986,0.24325518075144895,0.06396228035799979,0.45088728813549755,0.044379886303425965,0.3906193068783464,0.010833656019106718,0.45848321602461173,0.16156638829654063
4,100.0,treated_outer_ring4,0.022339735287679383,-0.0023367941503164673,0.021206516707352227,-0.048890418860578086,0.01585710900583355,0.299137961376725,0.006912809756578461,0.003213309159452671,0.15254477653809126
5,66.66666666666666,treated_inner_ring,1.4999999999999998,1.171674489304219,0.23272870042026933,1.5702659002142754,0.16303892671977654,1.5986243428907534,0.15863560085683223,1.664359392210982,0.21963119656234484
6,66.66666666666666,treated_outer_ring1,0.8982457688632961,0.5629930481385563,0.0824794698956454,1.1239725119365012,0.07338059862442989,1.188198750599214,0.04526699205783461,1.131498048132142,0.21409646381333844
7,66.66666666666666,treated_outer_ring2,0.5595782620656251,0.34364055349481376,0.052768892836230256,0.8010031852058214,0.0344761888333065,0.6399880124801649,0.021843916772954504,0.7794311295054143,0.19246418060715378
8,66.66666666666666,treated_outer_ring3,0.14988371883676824,-0.0885890151828657,0.03799767366229029,-0.0973237582651544,0.03275483216702884,0.40151220401540194,0.009449446802053795,-0.051481196856396544,0.16629436468985906
9,66.66666666666666,treated_outer_ring4,0.0232691459479617,0.08171150021722849,0.027453628495688158,0.12621919603670037,0.011290281278780881,0.3090502312983344,0.006614538628550261,0.1498452309890806,0.15742468826256328
10,50.0,treated_inner_ring,1.4999999999999998,1.57970519508197,0.18096466124914595,1.5620131590501782,0.10205226895231198,1.5489735535207918,0.09521312566847591,1.5599331232128053,0.23426170470092972
11,50.0,treated_outer_ring1,0.838595022147576,0.591444429196931,0.16674969135534778,1.0022235199654566,0.12538941000319592,1.00295684958994,0.0977726501961679,1.026128197652203,0.22613217910213476
12,50.0,treated_outer_ring2,0.5887577280118347,0.4414290170384872,0.09257059147941679,0.583264474649268,0.047091399820050034,0.6514669894635631,0.03569102417200364,0.6164459554897114,0.20296635708755037
13,50.0,treated_outer_ring3,0.188254409148057,-0.0096180983042885,0.0278637365571126,0.06275760769899802,0.03281959898891217,0.44572071066488367,0.01822846660671606,-0.06839552003039942,0.17786852868370265
14,50.0,treated_outer_ring4,0.022454109467633526,0.009071419770053164,0.028448201967829097,-0.0178493391599277,0.0405725427028386,0.31106462828082043,0.012989170124268349,0.01808763099103497,0.16606828026528475
15,28.57142857142857,treated_inner_ring,1.5000000000000002,0.94509991302541,0.16359380243077826,1.4717181371377708,0.11445005817818794,1.458501007352457,0.11357870409269047,1.5406089595166614,0.22512700040193795
16,28.57142857142857,treated_outer_ring1,0.750494763380374,0.47672000818477744,0.09057895101352462,0.7549009115311338,0.06375141956054829,0.7848812722579472,0.08307756640567457,0.857193689877754,0.2188621825908996
17,28.57142857142857,treated_outer_ring2,0.609269769269676,0.2834764659885089,0.10469943143465897,0.5763981911450198,0.11224695498981688,0.5142283574273703,0.041294924332186546,0.562308411584207,0.19662533599116824
18,28.57142857142857,treated_outer_ring3,0.1727542801497839,0.024221468951645515,0.03377980896790684,0.10389287866730891,0.022181526064864922,0.3462300743250201,0.025086834058530554,0.08445094288027155,0.16915158788351492
19,28.57142857142857,treated_outer_ring4,0.021970941724860804,-0.034472957218713976,0.03100498337124795,-0.09109672879888497,0.017296404698369374,0.2188341348565539,0.017371480302752946,-0.01272882780622997,0.15967883387013942
20,25.0,treated_inner_ring,1.5,0.8978643676764695,0.16329435272134882,1.248139102083441,0.10246291383203784,1.2350137559521825,0.11148635793169434,1.2392698295560285,0.24936868518062977
21,25.0,treated_outer_ring1,0.791495750712748,0.37139591525877014,0.09695957652133579,0.5970971732356833,0.07334981670624022,0.7132062336463894,0.06609042938467209,0.7427580001978487,0.24271266220405716
22,25.0,treated_outer_ring2,0.5297593918419428,0.28891783953470374,0.05055892250266241,0.5635687135648924,0.030537146935130693,0.37934543421963457,0.03110767016170531,0.5882903015499092,0.21910453078964898
23,25.0,treated_outer_ring3,0.15149071991424848,0.16174128938918148,0.04082562184558117,0.3261961912378723,0.02817651524341574,0.2589072595679183,0.01668838147992298,0.34330788264795165,0.18912022738117396
24,25.0,treated_outer_ring4,0.021664534442686137,-0.12219062666874174,0.04193635820115927,-0.19574315015496166,0.020148539539407782,0.17215701574015596,0.0114946870666509,-0.2234591642551993,0.17849779153716186
